COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Narwhal,,Narwhal,Special Concern,2004-11-01,Monodon monoceros,Narwhal,,No Status,,No schedule,,Arctic Ocean,Mammals (marine),Addition,Pending
Nebraska Sedge,,Nebraska Sedge,Not at Risk,1995-04-01,Carex nebrascensis,,,No Status,,No schedule,,Alberta,Vascular Plants,,
Nelson's Sharp-tailed Sparrow,,Nelson's Sharp-tailed Sparrow,Not at Risk,1998-04-01,Ammodramus nelsoni,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,,
New Jersey Rush,,New Jersey Rush,Special Concern,2004-05-01,Juncus caesariensis,New Jersey Rush,,Special Concern,2005-07-14,Schedule 1,2005-07-14,Nova Scotia,Vascular Plants,,Added to list
Nine-spotted Lady Beetle,,Nine-spotted Lady Beetle,Endangered,2016-04-29,Coccinella novemnotata,Nine-spotted Lady Beetle,,Endangered,2023-02-03,Schedule 1,2023-02-03,"Alberta, British Columbia, Manitoba, Ontario, Quebec, Saskatchewan",Arthropods,,Added to list
Nodding Pogonia,,Nodding Pogonia,Endangered,2010-11-26,Triphora trianthophoros,Nodding Pogonia,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Non-pollinating Yucca Moth,,Non-pollinating Yucca Moth,Endangered,2013-05-03,Tegeticula corruptrix,Non-pollinating Yucca Moth,,Endangered,2007-12-13,Schedule 1,2007-12-13,Alberta,Arthropods,,Added to list
Nooksack Dace,,Nooksack Dace,Endangered,2018-11-01,Rhinichthys cataractae,Nooksack Dace,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
North Atlantic Right Whale,,North Atlantic Right Whale,Endangered,2013-11-01,Eubalaena glacialis,North Atlantic Right Whale,,Endangered,2005-01-12,Schedule 1,2005-01-12,Atlantic Ocean,Mammals (marine),,Added to list
North Pacific Right Whale,,North Pacific Right Whale,Endangered,2015-05-01,Eubalaena japonica,North Pacific Right Whale,,Endangered,2006-08-15,Schedule 1,2006-08-15,Pacific Ocean,Mammals (marine),,Added to list
North Pacific Spiny Dogfish,,North Pacific Spiny Dogfish,Special Concern,2011-11-25,Squalus suckleyi,North Pacific Spiny Dogfish,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Northern Abalone,,Northern Abalone,Endangered,2009-04-26,Haliotis kamtschatkana,Northern Abalone,,Endangered,2011-06-23,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Molluscs,,Uplisted: Threatened to endangered
Northern Alligator Lizard,,Northern Alligator Lizard,Not at Risk,2002-05-01,Elgaria coerulea,,,No Status,,No schedule,,British Columbia,Reptiles,,
Northern Barrens Tiger Beetle,,Northern Barrens Tiger Beetle,Endangered,2009-11-27,Cicindela patruela,Northern Barrens Tiger Beetle,,Endangered,2012-06-20,Schedule 1,2012-06-20,"Ontario, Quebec",Arthropods,,Added to list
Northern Bobwhite,,Northern Bobwhite,Endangered,2023-05-05,Colinus virginianus,Northern Bobwhite,,Endangered,2005-07-14,Schedule 1,2005-07-14,Ontario,Birds,,Added to list
Northern Bottlenose Whale,,Northern Bottlenose Whale,Non-active,1996-04-01,Hyperoodon ampullatus,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,Northern Bottlenose Whale (Davis Strait-Baffin Bay-Labrador Sea population),Special Concern,2011-05-06,Hyperoodon ampullatus,Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),Addition,Pending
Northern Bottlenose Whale,Scotian Shelf population,Northern Bottlenose Whale (Scotian Shelf population),Endangered,2011-05-06,Hyperoodon ampullatus,Northern Bottlenose Whale,Scotian Shelf population,Endangered,2006-04-06,Schedule 1,2006-04-06,Atlantic Ocean,Mammals (marine),,Added to list
Northern Brook Lamprey,,Northern Brook Lamprey,Non-active,2007-04-22,Ichthyomyzon fossor,Northern Brook Lamprey,,,,,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Northern Brook Lamprey (Great Lakes - Upper St. Lawrence populations),Special Concern,2020-11-04,Ichthyomyzon fossor,Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2009-03-05,Schedule 1,2009-03-05,"Ontario, Quebec",Fishes (freshwater),,Added to list
Northern Brook Lamprey,Saskatchewan - Nelson River populations,Northern Brook Lamprey (Saskatchewan - Nelson River populations),Endangered,2020-11-04,Ichthyomyzon fossor,Northern Brook Lamprey,Saskatchewan-Nelson population,,,,,Manitoba,Fishes (freshwater),,
Northern Dusky Salamander,,Northern Dusky Salamander,Non-active,2012-05-04,Desmognathus fuscus,,,No Status,,No schedule,,"New Brunswick, Ontario, Quebec",Amphibians,,
Northern Dusky Salamander,Carolinian population,Northern Dusky Salamander (Carolinian population),Endangered,2012-05-04,Desmognathus fuscus,Northern Dusky Salamander,Carolinian population,Endangered,2017-06-02,Schedule 1,2017-06-02,Ontario,Amphibians,,Added to list
Northern Dusky Salamander,Quebec / New Brunswick population,Northern Dusky Salamander (Quebec / New Brunswick population),Not at Risk,2012-05-04,Desmognathus fuscus,,,No Status,,No schedule,,"New Brunswick, Quebec",Amphibians,,
Northern Elephant Seal,,Northern Elephant Seal,Not at Risk,1986-04-01,Mirounga angustirostris,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Northern Fur Seal,,Northern Fur Seal,Threatened,2022-12-03,Callorhinus ursinus,Northern Fur Seal,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),Addition,Pending
Northern Goshawk atricapillus subspecies,,Northern Goshawk atricapillus subspecies,Not at Risk,1995-04-01,Accipiter gentilis atricapillus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Northern Goshawk laingi subspecies,,Northern Goshawk laingi subspecies,Threatened,2013-05-03,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Northern Grey Wolf,,Northern Grey Wolf,Not at Risk,1999-04-01,Canis lupus occidentalis,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,
Northern Harrier,,Northern Harrier,Not at Risk,1993-04-01,Circus cyaneus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Northern Hawk Owl,,Northern Hawk Owl,Not at Risk,1992-04-01,Surnia ulula,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Birds,,
Northern Leopard Frog,Eastern populations,Northern Leopard Frog (Eastern populations),Not at Risk,2009-04-26,Lithobates pipiens,,,No Status,,No schedule,,"Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Amphibians,,
Northern Leopard Frog,Rocky Mountain population,Northern Leopard Frog (Rocky Mountain population),Endangered,2021-12-01,Lithobates pipiens,Northern Leopard Frog,Rocky Mountain population,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Northern Leopard Frog,Western Boreal/Prairie populations,Northern Leopard Frog (Western Boreal/Prairie populations),Special Concern,2009-04-26,Lithobates pipiens,Northern Leopard Frog,Western Boreal/Prairie populations,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Northwest Territories, Saskatchewan",Amphibians,,Added to list
Northern Madtom,,Northern Madtom,Endangered,2012-05-04,Noturus stigmosus,Northern Madtom,,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Fishes (freshwater),,Added to list
Northern Map Turtle,,Northern Map Turtle,Special Concern,2012-11-25,Graptemys geographica,Northern Map Turtle,,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Added to list
Northern Mock Goldenweed,,Northern Mock Goldenweed,Not at Risk,1997-04-01,Stenotus borealis,,,No Status,,No schedule,,Yukon,Vascular Plants,,
Northern Myotis,,Northern Myotis,Endangered,2013-11-01,Myotis septentrionalis,Northern Myotis,,Endangered,2014-11-26,Schedule 1,2014-11-26,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,Added to list
Northern Oak Hairstreak,,Northern Oak Hairstreak,Threatened,2022-05-11,Satyrium favonius ontario,Northern Oak Hairstreak,,No Status,,No schedule,,Ontario,Arthropods,Addition,Pending
Northern Red-legged Frog,,Northern Red-legged Frog,Special Concern,2015-05-01,Rana aurora,Northern Red-legged Frog,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Amphibians,,Added to list
Northern Riffleshell,,Northern Riffleshell,Endangered,2010-04-25,Epioblasma rangiana,Northern Riffleshell,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,,Added to list
Northern Right Whale Dolphin,,Northern Right Whale Dolphin,Not at Risk,1990-04-01,Lissodelphis borealis,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Northern Rubber Boa,,Northern Rubber Boa,Special Concern,2016-04-29,Charina bottae,Northern Rubber Boa,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Northern Saw-whet Owl brooksi subspecies,,Northern Saw-whet Owl brooksi subspecies,Threatened,2017-11-01,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,,Threatened,2007-12-13,Schedule 1,2007-12-13,British Columbia,Birds,,Added to list
Northern Sunfish,,Northern Sunfish,Non-active,2016-04-29,Lepomis peltastes,,,No Status,,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Northern Sunfish (Great Lakes - Upper St. Lawrence populations),Special Concern,2016-04-29,Lepomis peltastes,Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),,Added to list
Northern Sunfish,Saskatchewan - Nelson River populations,Northern Sunfish (Saskatchewan - Nelson River populations),Not at Risk,2016-04-29,Lepomis peltastes,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Northern Watersnake,,Northern Watersnake,Not at Risk,2002-05-01,Nerodia sipedon sipedon,,,No Status,,No schedule,,"Ontario, Quebec",Reptiles,,
Northern Wolffish,,Northern Wolffish,Threatened,2012-11-25,Anarhichas denticulatus,Northern Wolffish,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,Added to list
Northwestern Cellar Spider,,Northwestern Cellar Spider,Not at Risk,2014-05-02,Psilochorus hesperus,,,No Status,,No schedule,,British Columbia,Arthropods,,
Northwestern Gartersnake,,Northwestern Gartersnake,Not at Risk,2003-05-01,Thamnophis ordinoides,,,No Status,,No schedule,,British Columbia,Reptiles,,
Northwestern Salamander,,Northwestern Salamander,Not at Risk,1999-04-01,Ambystoma gracile,,,No Status,,No schedule,,British Columbia,Amphibians,,
Nugget Moss,,Nugget Moss,Endangered,2016-11-27,Microbryum vlassovii,Nugget Moss,,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,Mosses,,Added to list
Nuttall's Cottontail nuttallii subspecies,,Nuttall's Cottontail nuttallii subspecies,Special Concern,2016-11-27,Sylvilagus nuttallii nuttallii,Nuttall's Cottontail nuttallii subspecies,,Special Concern,2007-12-13,Schedule 1,2007-12-13,British Columbia,Mammals (terrestrial),,Added to list
Nuttall's Cottontail pinetis subspecies,,Nuttall's Cottontail pinetis subspecies,Not at Risk,1994-04-01,Sylvilagus nuttallii pinetis,,,No Status,,No schedule,,"Alberta, Saskatchewan",Mammals (terrestrial),,
Nuttall's Sheep Moth,,Nuttall's Sheep Moth,Endangered,2015-11-26,Hemileuca nuttalli,Nuttall's Sheep Moth,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Arthropods,,Added to list
Ogden's Pondweed,,Ogden's Pondweed,Endangered,2007-04-22,Potamogeton ogdenii,Ogden's Pondweed,,Endangered,2009-03-05,Schedule 1,2009-03-05,Ontario,Vascular Plants,,Added to list
Okanagan Efferia,,Okanagan Efferia,Endangered,2011-11-25,Efferia okanagana,Okanagan Efferia,,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,Arthropods,,Added to list
Okanogan Stickseed,,Okanogan Stickseed,Not at Risk,2007-11-30,Hackelia ciliata,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Oldgrowth Specklebelly Lichen,,Oldgrowth Specklebelly Lichen,Special Concern,2010-04-25,Pseudocyphellaria rainierensis,Oldgrowth Specklebelly Lichen,,Special Concern,2012-06-20,Schedule 1,2012-06-20,British Columbia,Lichens,,Added to list
Olive Clubtail,,Olive Clubtail,Endangered,2011-05-06,Stylurus olivaceus,Olive Clubtail,,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,Arthropods,,Added to list
Olive-sided Flycatcher,,Olive-sided Flycatcher,Special Concern,2018-04-27,Contopus cooperi,Olive-sided Flycatcher,,Special Concern,2023-02-03,Schedule 1,2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,Downlisted: Threatened to special concern
Olympia Oyster,,Olympia Oyster,Special Concern,2011-05-06,Ostrea lurida,Olympia Oyster,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Molluscs,,Added to list
Orangespotted Sunfish,,Orangespotted Sunfish,Non-active,2008-04-25,Lepomis humilis,Orangespotted Sunfish,,,,,,Ontario,Fishes (freshwater),,
Ord's Kangaroo Rat,,Ord's Kangaroo Rat,Endangered,2017-04-28,Dipodomys ordii,Ord's Kangaroo Rat,,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, Saskatchewan",Mammals (terrestrial),,Added to list
Oregon Branded Skipper,,Oregon Branded Skipper,Endangered,2013-11-01,Hesperia colorado oregonia,Oregon Branded Skipper,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Arthropods,,Added to list
Oregon Forestsnail,,Oregon Forestsnail,Endangered,2013-05-03,Allogona townsendiana,Oregon Forestsnail,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,,Added to list
Oregon Lupine,,Oregon Lupine,Extirpated,2008-11-28,Lupinus oreganus,Oregon Lupine,,Extirpated,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
Oregon Spotted Frog,,Oregon Spotted Frog,Endangered,2011-05-06,Rana pretiosa,Oregon Spotted Frog,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Ottoe Skipper,,Ottoe Skipper,Endangered,2015-05-01,Hesperia ottoe,Ottoe Skipper,,Endangered,2006-08-15,Schedule 1,2006-08-15,Manitoba,Arthropods,,Added to list
Pacific Gophersnake,,Pacific Gophersnake,Extirpated,2023-05-05,Pituophis catenifer catenifer,Pacific Gophersnake,,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Northwestern Pond Turtle,,Northwestern Pond Turtle,Extirpated,2023-05-05,Actinemys marmorata,Pacific Pond Turtle,,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Pacific Rhododendron,,Pacific Rhododendron,Not at Risk,1997-04-01,Rhododendron macrophyllum,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Pacific Sardine,,Pacific Sardine,Not at Risk,2002-05-01,Sardinops sagax,Pacific Sardine,,,,,,Pacific Ocean,Fishes (marine),,
Pacific Water Shrew,,Pacific Water Shrew,Endangered,2016-04-29,Sorex bendirii,Pacific Water Shrew,,Endangered,2007-12-13,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,Uplisted
Pacific White-sided Dolphin,,Pacific White-sided Dolphin,Not at Risk,1990-04-01,Lagenorhynchus obliquidens,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Paddlefish,,Paddlefish,Extirpated,2019-05-03,Polyodon spathula,Paddlefish,,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Added to list
Pale Yellow Dune Moth,,Pale Yellow Dune Moth,Special Concern,2018-11-01,Copablepharon grandis,Pale Yellow Dune Moth,,Special Concern,2010-02-23,Schedule 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropods,,Added to list
Pale-bellied Frost Lichen,,Pale-bellied Frost Lichen,Endangered,2009-11-27,Physconia subpallida,Pale-bellied Frost Lichen,,Endangered,2012-06-20,Schedule 1,2012-06-20,"Ontario, Quebec",Lichens,,Added to list
Pallid Bat,,Pallid Bat,Threatened,2010-11-26,Antrozous pallidus,Pallid Bat,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,Added to list
Parker's Pipewort,,Parker's Pipewort,Not at Risk,2007-04-22,Eriocaulon parkeri,,,No Status,,No schedule,,"New Brunswick, Quebec",Vascular Plants,,
Passenger Pigeon,,Passenger Pigeon,Extinct,2000-05-01,Ectopistes migratorius,,,No Status,,No schedule,,"Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,,
Paxton Lake Benthic Threespine Stickleback,,Paxton Lake Benthic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Paxton Lake Limnetic Threespine Stickleback,,Paxton Lake Limnetic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Peacock Vinyl Lichen,,Peacock Vinyl Lichen,Special Concern,2011-05-06,Leptogium polycarpum,Peacock Vinyl Lichen,,Special Concern,2017-02-03,Schedule 1,2017-02-03,British Columbia,Lichens,,Added to list
Peary Caribou,,Peary Caribou,Threatened,2015-11-26,Rangifer tarandus pearyi,Peary Caribou,,Threatened,2023-02-03,Schedule 1,2011-02-04,"Northwest Territories, Nunavut",Mammals (terrestrial),,Downlisted: Endangered to threatened
Peary Caribou,Banks Island population,Peary Caribou (Banks Island population),Non-active,2004-05-01,Rangifer tarandus pearyi,Peary Caribou,Banks Island population,,,,,Northwest Territories,Mammals (terrestrial),,
Peary Caribou,High Arctic population,Peary Caribou (High Arctic population),Non-active,2004-05-01,Rangifer tarandus pearyi,Peary Caribou,High Arctic population,,,,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peary Caribou,Low Arctic population,Peary Caribou (Low Arctic population),Non-active,2004-05-01,Rangifer tarandus pearyi,Peary Caribou,Low Arctic population,,,,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peary Caribou,original designation,Peary Caribou (original designation),Non-active,1991-04-01,Rangifer tarandus pearyi,,,No Status,,No schedule,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peregrine Falcon anatum subspecies,,Peregrine Falcon anatum subspecies,Non-active,2007-04-22,Falco peregrinus anatum,Peregrine Falcon anatum subspecies,,No Status,2013-03-08,No schedule,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,,Struck - WS reassignment
Peregrine Falcon anatum/tundrius,,Peregrine Falcon anatum/tundrius,Not at Risk,2017-11-01,Falco peregrinus anatum/tundrius,Peregrine Falcon anatum/tundrius,,No Status,2023-02-15,No schedule,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,,Delisted: Special Concern to not at risk
Peregrine Falcon pealei subspecies,,Peregrine Falcon pealei subspecies,Special Concern,2017-11-01,Falco peregrinus pealei,Peregrine Falcon pealei subspecies,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Peregrine Falcon tundrius subspecies,,Peregrine Falcon tundrius subspecies,Non-active,2007-04-22,Falco peregrinus tundrius,Peregrine Falcon tundrius subspecies,,,,,,"Newfoundland and Labrador, Northwest Territories, Nunavut, Quebec, Yukon",Birds,,
Phantom Orchid,,Phantom Orchid,Endangered,2014-11-28,Cephalanthera austiniae,Phantom Orchid,,Endangered,2019-02-25,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Uplisted: Threatened to endangered
Pickerel Frog,,Pickerel Frog,Not at Risk,1999-04-01,Rana palustris,,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Amphibians,,
Pink Coreopsis,,Pink Coreopsis,Endangered,2012-11-25,Coreopsis rosea,Pink Coreopsis,,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Added to list
Pink Milkwort,,Pink Milkwort,Endangered,2009-11-27,Polygala incarnata,Pink Milkwort,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Pink Sand-verbena,,Pink Sand-verbena,Endangered,2004-05-01,Abronia umbellata,Pink Sand-verbena,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
